City,LAT,LON,Area,Type,Name,Artists,Address,City2,State,Zip,Year,Participant,desc1,desc2,url,partner,funder,LAT,LON
Shelbyville,38.23696465,-85.23774752,Visual Art Education,CFAC,CFAC @ Shelby County West Middle School,Jackie Connelly,100 Warriors Way,Shelbyville,Kentucky,40365,2015,22,placeholder 1,placeholder 1,placeholder 2,,,38.23696465,-85.23774752
Shelbyville,38.23696465,-85.23774752,Visual Art Education,CFAC,CFAC @ Shelby County West Middle School,Jackie Connelly,100 Warriors Way,Shelbyville,Kentucky,40365,2016,22,placeholder 2,placeholder 2,placeholder 3,,,38.23696465,-85.23774752
Louisville,38.22197055,-85.75761538,Visual Art Education,CFAC,CFAC @ DuPont Manual High school,Liesl Long,120 W. Lee St.,Louisville,Kentucky,40208,2015,30,placeholder 3,placeholder 3,placeholder 4,,,38.22197055,-85.75761538
Louisville,38.22197055,-85.75761538,Visual Art Education,CFAC,CFAC @ DuPont Manual High school,Liesl Long,120 W. Lee St.,Louisville,Kentucky,40208,2016,30,placeholder 4,placeholder 4,placeholder 5,,,38.22197055,-85.75761538
Louisville,38.23809515,-85.52408749,Visual Art Education,CFAC,CFAC @ Hite Elementary School (Thursday),Ann Sturdevant,12408 Old Shelbyville Rd,Louisville,Kentucky,40243,2015,29,placeholder 5,placeholder 5,placeholder 6,,,38.23809515,-85.52408749
Louisville,38.23809515,-85.52408749,Visual Art Education,CFAC,CFAC @ Hite Elementary School (Wednesday),Ann Sturdevant,12408 Old Shelbyville Rd,Louisville,Kentucky,40243,2015,31,placeholder 6,placeholder 6,placeholder 7,,,38.23809515,-85.52408749
Louisville,38.23809515,-85.52408749,Visual Art Education,CFAC,CFAC @ Hite Elementary School (Thursday),Ann Sturdevant,12408 Old Shelbyville Rd,Louisville,Kentucky,40243,2016,29,placeholder 7,placeholder 7,placeholder 8,,,38.23809515,-85.52408749
Louisville,38.23809515,-85.52408749,Visual Art Education,CFAC,CFAC @ Hite Elementary School (Wednesday),Ann Sturdevant,12408 Old Shelbyville Rd,Louisville,Kentucky,40243,2016,31,placeholder 8,placeholder 8,placeholder 9,,,38.23809515,-85.52408749
Goshen,38.401047,-85.584673,Visual Art Education,CFAC,CFAC @ Creasy Mahan Nature Preserve,Jean Smith,12501 Harmony Landing Rd,Goshen,Kentucky,40026,2015,26,placeholder 9,placeholder 9,placeholder 10,,,38.401047,-85.584673
Goshen,38.401047,-85.584673,Visual Art Education,CFAC,CFAC @ Creasy Mahan Nature Preserve,Jean Smith,12501 Harmony Landing Rd,Goshen,Kentucky,40026,2016,26,placeholder 10,placeholder 10,placeholder 11,,,38.401047,-85.584673
New Albany,38.31475553,-85.79997867,Visual Art Education,CFAC,CFAC @ Slate Run Elementary School,Melody Woolsey,1452 Slate Run Road,New Albany,Indiana,47150,2015,7,placeholder 11,placeholder 11,placeholder 12,,,38.31475553,-85.79997867
New Albany,38.31475553,-85.79997867,Visual Art Education,CFAC,CFAC @ Slate Run Elementary School,Melody Woolsey,1452 Slate Run Road,New Albany,Indiana,47150,2016,7,placeholder 12,placeholder 12,placeholder 13,,,38.31475553,-85.79997867
Louisville,38.2528145,-85.7069819,Visual Art Education,CFAC,CFAC @ Clifton Center (Tuesday),Rick Ward,2117 Payne St.,Louisville,Kentucky,40206,2015,25,placeholder 13,placeholder 13,placeholder 14,,,38.2528145,-85.7069819
Louisville,38.2528145,-85.7069819,Visual Art Education,CFAC,CFAC @ Clifton Center (Saturday),Janet Britt,2117 Payne St.,Louisville,Kentucky,40206,2015,30,placeholder 14,placeholder 14,placeholder 15,,,38.2528145,-85.7069819
Louisville,38.2528145,-85.7069819,Visual Art Education,CFAC,CFAC @ Clifton Center (Wednesday),Janet Britt,2117 Payne St.,Louisville,Kentucky,40206,2015,30,placeholder 15,placeholder 15,placeholder 16,,,38.2528145,-85.7069819
Louisville,38.2528145,-85.7069819,Visual Art Education,CFAC,CFAC @ Clifton Center (Saturday),Liesl Long,2117 Payne St.,Louisville,Kentucky,40206,2015,30,placeholder 16,placeholder 16,placeholder 17,,,38.2528145,-85.7069819
Louisville,38.2528145,-85.7069819,Visual Art Education,CFAC,Introduction to Digital Photography LVA @ Clifton Center,Clair Krueger,2117 Payne St.,Louisville,Kentucky,40206,2015,12,placeholder 17,placeholder 17,placeholder 18,,,38.2528145,-85.7069819
Louisville,38.2528145,-85.7069819,Visual Art Education,The Academy,Drawing - Painting 1 LVA @ Clifton Center,Dennis Whitehouse,2117 Payne St.,Louisville,Kentucky,40206,2015,19,placeholder 18,placeholder 18,placeholder 19,,,38.2528145,-85.7069819
Louisville,38.2528145,-85.7069819,Visual Art Education,The Academy,Sculpture 1 LVA @ Clifton Center,Collin Lloyd,2117 Payne St.,Louisville,Kentucky,40206,2015,3,placeholder 19,placeholder 19,placeholder 20,,,38.2528145,-85.7069819
